target_point;heading;velocity;acceleration;stay_point
no;-5.78918;1.21277;0;no
no;-5.98665;1.31734;0;no
no;-4.49071;-0.302859;0;no
no;-1.32521;0.334895;0;no
no;-3.20174;-1.47592;0;yes
no;-3.28244;-1.46395;0;no
no;-3.09882;-1.47724;0;no
yes;-6.08701;1.45023;0;no
no;-6.26913;1.47845;0;no
no;-4.70569;-0.009902;0;no
no;-1.53113;0.058637;0;no
yes;-2.82787;-1.00485;0;yes
no;-3.18532;-1.0554;0;no
no;-2.98233;-1.04304;0;no
no;-5.79908;0.93502;0;no
no;-6.00028;1.01442;0;no
no;-4.50359;-0.218983;0;no
no;-1.33814;0.24357;0;no
no;-3.15148;-1.51643;-0.161876;yes
no;-3.28366;-1.50123;-0.159648;no
no;-3.09771;-1.51505;-0.161975;no
yes;-6.08954;1.48816;0.159788;no
no;-6.27248;1.51642;0.16197;no
no;-4.72859;0.024572;0.00722;no
no;-1.52142;0.074848;0.003401;no
yes;-2.90623;-0.941724;-0.161102;yes
no;-3.27965;-0.959209;-0.156196;no
no;-3.07289;-0.966138;-0.161688;no
no;-5.89164;0.895132;0.156499;no
no;-6.09481;0.951291;0.161722;no
no;-4.60818;-0.100735;0.00423;no
no;-1.4197;0.145772;0.003366;no
no;-3.15658;-1.56789;-0.16184;yes
no;-3.28357;-1.55228;-0.15964;no
no;-3.09616;-1.56645;-0.161972;no
yes;-6.08823;1.53836;0.159762;no
no;-6.27259;1.56798;0.161968;no
no;-4.72832;0.024976;0.007234;no
no;-1.52067;0.078575;0.003464;no
yes;-3.00882;-0.981867;-0.161044;yes
no;-3.3869;-0.960931;-0.15614;no
no;-3.17779;-0.989936;-0.161698;no
no;-5.99571;0.949934;0.15642;no
no;-6.20113;0.987252;0.161725;no
no;-4.7141;0.001692;0.004223;no
no;-1.5252;0.045148;0.003439;no
no;-3.16994;-1.52769;-0.239778;yes
no;-3.38172;-1.48446;-0.236579;no
no;-3.19298;-1.52629;-0.239951;no
yes;-6.18774;1.52135;0.236676;no
no;-6.37492;1.52188;0.239947;no
no;-4.8065;0.143622;0.005517;no
no;-1.63134;-0.092474;0.002539;no
yes;-2.75867;-0.788599;-0.23849;yes
no;-3.14331;-0.85017;-0.231142;no
no;-2.9319;-0.831548;-0.23955;no
no;-5.74341;0.729297;0.231367;no
no;-5.95293;0.804228;0.239574;no
no;-4.45466;-0.216694;0.003134;no
no;-1.28953;0.235983;0.002515;no
no;-3.15296;-1.52346;-0.40196;yes
no;-3.3377;-1.49435;-0.396171;no
no;-3.14637;-1.52354;-0.401913;no
yes;-6.1428;1.50856;0.396475;no
no;-6.33099;1.52181;0.401901;no
no;-4.78368;0.108529;0.018363;no
no;-1.57536;-0.006956;0.008455;no
yes;-2.79005;-0.871991;-0.400769;yes
no;-3.14476;-0.928789;-0.386741;no
no;-2.93026;-0.908131;-0.40123;no
no;-5.74025;0.79523;0.387469;no
no;-5.95094;0.877999;0.401301;no
no;-4.46484;-0.227577;0.010328;no
no;-1.27669;0.269246;0.008389;no
no;-3.12643;-1.54965;-0.481685;yes
no;-3.33214;-1.52178;-0.475058;no
no;-3.13994;-1.54982;-0.481874;no
yes;-6.13646;1.53317;0.475256;no
no;-6.32707;1.54833;0.481865;no
no;-4.7563;0.068037;0.011194;no
no;-1.58105;-0.01589;0.005029;no
yes;-2.83828;-0.916903;-0.480213;yes
no;-3.20142;-0.959041;-0.463603;no
no;-2.98555;-0.949087;-0.48109;no
no;-5.79232;0.847317;0.464072;no
no;-6.00624;0.924152;0.481138;no
no;-4.50805;-0.19496;0.006249;no
no;-1.34316;0.216824;0.004981;no
no;-3.10191;-1.3738;-0.401878;yes
no;-3.29841;-1.35801;-0.396078;no
no;-3.10259;-1.37384;-0.401885;no
yes;-6.10087;1.3521;0.39639;no
no;-6.29342;1.37481;0.401872;no
no;-4.74412;0.043619;0.018796;no
no;-1.53481;0.049474;0.008421;no
yes;-2.67867;-0.825864;-0.401471;yes
no;-3.0129;-0.915377;-0.386022;no
no;-2.79306;-0.867514;-0.401202;no
no;-5.59565;0.713311;0.38679;no
no;-5.8115;0.822223;0.401275;no
no;-4.32646;-0.347439;0.010311;no
no;-1.13844;0.386755;0.008353;no
no;-3.10357;-1.37389;-0.239928;yes
no;-3.30006;-1.35766;-0.236444;no
no;-3.10226;-1.37382;-0.23992;no
yes;-6.10133;1.35221;0.236618;no
no;-6.29577;1.37478;0.239914;no
no;-4.74589;0.046048;0.011358;no
no;-1.53575;0.048178;0.005089;no
yes;-2.69554;-0.803202;-0.239777;yes
no;-3.02447;-0.884213;-0.230247;no
no;-2.80175;-0.839393;-0.239517;no
no;-5.60074;0.690909;0.230698;no
no;-5.81936;0.796248;0.239556;no
no;-4.3349;-0.328154;0.006158;no
no;-1.14658;0.36646;0.005056;no
no;-3.09324;-1.434;-0.239871;yes
no;-3.3604;-2.00265;-0.630821;no
no;-3.15883;-2.05126;-0.639671;no
yes;-6.16745;2.03784;0.631309;no
no;-6.36563;2.0446;0.639647;no
no;-4.81115;0.202285;0.031676;no
no;-1.59955;-0.05898;0.013115;no
